eva_nr,name,state,city,Gemeinde,Teilort,Landkreis,zipcode,street,long,lat,Verkehrsmittel,Linien (EFA),Betriebszweige,Tarifzonen,category,parking,bicycle,taxis,stepless,car_rental
8000096,Stuttgart Hbf,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70173,Arnulf-Klett-Platz 2,9.183172973,48.78473069,R-Bahn;S-Bahn,S1;S3;S4;S5;S6;IRE1;IRE4;RE5;IRE6;RE8;MEX12;MEX13;RB14;MEX16;MEX17;MEX18;MEX19;RE90;MEX90,10;11,1,1,True,True,True,Yes,True
8006743,Stuttgart Neckarpark,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70372,Alte Untertürkheimer Strasse,9.24106855,48.79194362,R-Bahn;S-Bahn;SEV-Bus,S1;S11;MEX12;MEX16;MEX18;S1E,10;11;36,1,4,False,False,False,Yes,False
8005767,Stuttgart Nord,Baden-Württemberg,Stuttgard-Nord,Stuttgart,Stuttgart,S,70174,Nordbahnhofstrasse,9.188061449,48.80374161,Nachtbus;R-Bahn;S-Bahn;Stadtbahn,S4;S5;S6;S26;S60;IRE1;RE8;MEX12;MEX17;MEX18;MEX19;MEX90;U12;N5,10;11;20;33,1,5,False,False,False,Yes,False
8004357,Stuttgart Nürnberger Straße,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70374,Nürnberger Strasse,9.234576905,48.80656062,Nachtbus;R-Bahn;S-Bahn;SEV-Bus;Stadtbahn,S2;S3;MEX19;RE90;MEX90;U1;U16;N6;S2E,10;11;20;33;36,1,5,False,True,False,Yes,False
8005779,Stuttgart Österfeld,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70563,Paradiesstraße 70,9.116751457,48.73749946,S-Bahn,S1;S2;S3;S11;S26,10,1,4,True,True,False,Yes,False
8006513,Stuttgart Universität,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70569,Universitätsstrasse,9.105864214,48.74511762,Bus;Nachtbus;S-Bahn,S1;S2;S3;S11;S26;50;82;84;91;92;747;748;X74;N1,10;30;31;33,1,4,False,True,False,Yes,False
8005769,Stuttgart-Bad Cannstatt,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70372,Bahnhofstr. 30,9.217468636,48.80127978,Bus;R-Bahn;S-Bahn,S1;S2;S3;S11;IRE1;RE5;IRE6;MEX12;MEX13;MEX16;MEX18;MEX19;RE90;MEX90;45,10;11;30,1,3,True,True,True,Yes,False
8005770,Stuttgart-Feuerbach,Baden-Württemberg,Feuerbach,Stuttgart,Stuttgart,S,70469,Bahnhof 1,9.169186287,48.81363554,Bus;Nachtbus;R-Bahn;S-Bahn;Stadtbahn,S4;S5;S6;S26;S60;IRE1;RE8;MEX12;MEX17;MEX18;MEX19;MEX90;U6;U13;U16;53;91;501;502;503;N3,10;11;20;30;31;33,1,3,False,False,True,Yes,False
8006699,Stuttgart Feuersee,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70176,Feuerseeplatz 14,9.165850846,48.7726173,Bus;Nachtbus;S-Bahn,S1;S2;S3;S4;S5;S6;S11;S26;S60;X2;41;43;44;92;N2,10;30;33,1,3,False,True,False,Yes,False
8005772,Stuttgart-Obertürkheim,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70329,Obertürkheim,9.268167932,48.76175015,Bus;Nachtbus;R-Bahn;S-Bahn;SEV-Bus,S1;RE5;IRE6;MEX12;MEX16;MEX18;61;62;65;101;N7;S1E,10;11;30;31;33;36,1;2,4,True,True,True,Partial,False
8005773,Stuttgart-Rohr,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70565,Egelhaafstraße,9.108158025,48.71799427,Bus;Nachtbus;R-Bahn;S-Bahn,S1;S2;S3;S11;S26;IRE4;RB14;81;N10,10;11;30;33,1;2,4,True,True,False,Yes,False
8006698,Stuttgart Schwabstraße,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70197,Rotebühlstrasse,9.156496717,48.77013954,Bus;Nachtbus;S-Bahn,S1;S2;S3;S4;S5;S6;S11;S26;S60;X2;42;44;N2;N10,10;30;33,1,3,False,True,False,Yes,False
8005774,Stuttgart-Sommerrain,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70374,Sommerrainstr. 90,9.248369749,48.81521824,Bus;R-Bahn;S-Bahn,S2;S3;MEX19;RE90;MEX90;54;58,10;11;30,1,5,True,False,False,Yes,False
8006700,Stuttgart Stadtmitte,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70173,Theodor-Heuss-Strasse,9.173046906,48.77632953,Bus;Nachtbus;S-Bahn;Stadtbahn,S1;S2;S3;S4;S5;S6;S11;S26;S60;U1;U2;U4;X2;43;92;N2;N10,10;20;30;33,1,3,False,True,False,Yes,False
8005775,Stuttgart-Untertürkheim Pbf,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70327,Karl-Benz-Platz 15,9.250467074,48.77984679,Bus;Nachtbus;R-Bahn;S-Bahn;SEV-Bus;Stadtbahn,S1;RE5;IRE6;RB11;MEX12;MEX16;MEX18;U4;U13;60;61;N6;N7;S1E,10;11;20;30;33;36,1,3,False,True,True,Partial,False
8005776,Stuttgart-Vaihingen,Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70563,Am Bahnhof 1,9.113913368,48.72698116,Bus;R-Bahn;S-Bahn;Stadtbahn,S1;S2;S3;S11;S26;IRE4;RB14;U3;U8;U14;81;82;84;86,10;11;20;30,1,3,True,True,False,Yes,True
